                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1864,                 2.0761,                 1.0745,                0.09284,                0.82763,                0.11242,                0.07972,                  1.025,                 12.433,                 1.0392,             0.00075932,             0.00075932,             0.00075932
                     47,                 1.1979,                 5.7291,                 1.0873,                0.09572,                0.77404,                0.10994,                0.07436,                 1.0895,                 13.602,                 1.0721,             0.00073869,             0.00073869,             0.00073869
                     48,                 1.1705,                 2.0138,                 1.0707,                0.09089,                0.84262,                0.10962,                 0.0785,                0.99402,                 14.671,                 1.0225,             0.00071806,             0.00071806,             0.00071806
                     49,                 1.1763,                 1.9947,                 1.0571,                0.08938,                0.87445,                 0.1031,                0.07275,                 1.0326,                  11.39,                 1.0401,             0.00069743,             0.00069743,             0.00069743
                     50,                 1.1847,                 2.0053,                 1.0793,                0.09133,                0.87918,                0.10784,                0.07761,                0.99955,                 12.398,                  1.022,              0.0006768,              0.0006768,              0.0006768
                     51,                 1.1515,                 2.0979,                 1.0608,                0.09403,                0.89424,                0.10775,                0.07554,                 1.0331,                 12.555,                 1.0343,             0.00065617,             0.00065617,             0.00065617
                     52,                 1.1784,                 2.1938,                 1.0737,                0.09426,                0.86253,                0.10986,                0.08035,                0.98402,                 14.374,                 1.0146,             0.00063554,             0.00063554,             0.00063554
                     53,                 1.1235,                 4.6388,                 1.0457,                0.09473,                0.86869,                0.10932,                0.07839,                0.98204,                 13.356,                 1.0071,             0.00061491,             0.00061491,             0.00061491
                     54,                 1.1362,                 1.9866,                 1.0403,                0.09443,                 0.7723,                 0.1052,                 0.0764,                0.95361,                 13.382,                0.99856,             0.00059429,             0.00059429,             0.00059429
                     55,                 1.1124,                 1.9699,                 1.0309,                0.09343,                0.90251,                0.10773,                0.07812,                0.96888,                 13.574,                 1.0047,             0.00057366,             0.00057366,             0.00057366
                     56,                 1.1211,                  2.029,                 1.0444,                 0.0899,                0.88796,                0.10991,                0.08028,                0.96053,                 12.756,                 1.0022,             0.00055303,             0.00055303,             0.00055303
                     57,                  1.091,                 2.0812,                 1.0303,                 0.0926,                0.88893,                0.10751,                0.07844,                0.95797,                 13.602,                0.99856,              0.0005324,              0.0005324,              0.0005324
                     58,                 1.0865,                 4.7753,                 1.0275,                0.09337,                0.87918,                0.11087,                0.08143,                0.94861,                 15.763,                0.99476,             0.00051177,             0.00051177,             0.00051177
                     59,                  1.115,                 5.8405,                 1.0444,                0.09532,                0.87473,                0.10868,                0.07964,                0.95144,                 13.116,                 0.9948,             0.00049114,             0.00049114,             0.00049114
                     60,                 1.1007,                 2.0078,                 1.0272,                 0.0928,                0.89444,                0.10608,                0.07753,                0.95436,                 13.026,                0.99483,             0.00047051,             0.00047051,             0.00047051
                     61,                 1.1058,                 3.2405,                 1.0377,                0.09122,                0.90499,                0.10732,                0.07865,                0.94783,                 12.442,                0.99696,             0.00044988,             0.00044988,             0.00044988
                     62,                  1.083,                 1.9581,                 1.0346,                 0.0932,                0.89297,                0.10853,                0.08054,                0.94078,                 13.381,                0.99177,             0.00042925,             0.00042925,             0.00042925
                     63,                 1.0856,                  3.158,                 1.0188,                0.09192,                0.89682,                0.10736,                0.08065,                0.90509,                   14.8,                0.97148,             0.00040862,             0.00040862,             0.00040862
                     64,                 1.0779,                 2.2172,                 1.0277,                0.09217,                0.86859,                0.10589,                0.07902,                0.90218,                 13.924,                 0.9707,             0.00038799,             0.00038799,             0.00038799
                     65,                 1.0523,                 2.0328,                 1.0082,                0.09308,                0.90779,                0.11049,                0.08333,                0.88752,                 15.479,                 0.9661,             0.00036737,             0.00036737,             0.00036737
                     66,                 1.0588,                 3.2298,                 1.0092,                0.09496,                0.90529,                0.10744,                0.08033,                 0.9162,                 14.774,                0.97746,             0.00034674,             0.00034674,             0.00034674
                     67,                  1.062,                 8.6461,                 1.0105,                0.09277,                0.92458,                0.10698,                0.08058,                0.89869,                 12.786,                0.97106,             0.00032611,             0.00032611,             0.00032611
                     68,                 1.0346,                 5.8003,                 1.0055,                0.09434,                0.87165,                0.11195,                0.08538,                0.89062,                   16.7,                0.96364,             0.00030548,             0.00030548,             0.00030548
                     69,                 1.0369,                 1.9991,                 1.0113,                0.09333,                0.91175,                0.10858,                0.08173,                0.89196,                 12.846,                0.96632,             0.00028485,             0.00028485,             0.00028485
                     70,                 1.0098,                 5.1984,                0.99183,                0.09387,                0.87594,                0.10967,                0.08408,                0.85387,                 15.128,                0.94914,             0.00026422,             0.00026422,             0.00026422
                     71,                0.92345,                 30.564,                0.95647,                0.09296,                0.81615,                0.10583,                0.08039,                0.86709,                 11.366,                0.95424,             0.00024359,             0.00024359,             0.00024359
                     72,                 0.8945,                 25.191,                0.94631,                0.09248,                0.90403,                0.10797,                0.08155,                 0.8816,                 10.647,                0.96474,             0.00022296,             0.00022296,             0.00022296
                     73,                0.87246,                 20.645,                0.93081,                0.09223,                0.90673,                0.10796,                0.08194,                0.85854,                  10.43,                0.95257,             0.00020233,             0.00020233,             0.00020233
                     74,                0.86746,                 22.621,                0.91701,                0.09344,                0.86179,                0.10972,                0.08377,                0.86082,                 10.115,                 0.9511,              0.0001817,              0.0001817,              0.0001817
                     75,                0.91654,                 13.269,                 0.9718,                0.09358,                0.83989,                0.10991,                0.08431,                0.85675,                 10.338,                0.94879,             0.00016107,             0.00016107,             0.00016107
                     76,                0.91114,                   12.4,                0.96622,                0.10374,                0.65103,                 0.1111,                0.08522,                0.85803,                 11.794,                0.95073,             0.00014044,             0.00014044,             0.00014044
                     77,                0.87866,                  20.27,                0.93745,                0.10179,                0.68446,                 0.1098,                0.08386,                0.85586,                 12.037,                0.94959,             0.00011982,             0.00011982,             0.00011982
                     78,                0.86299,                 18.272,                0.92337,                0.09579,                0.79861,                0.10912,                0.08374,                 0.8389,                 10.749,                0.94164,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     79,                0.86153,                 19.856,                0.92039,                0.09865,                0.72905,                0.10933,                0.08411,                0.83105,                 11.461,                0.93875,             7.8557e-05,             7.8557e-05,             7.8557e-05
                     80,                0.85352,                 19.869,                0.91684,                0.09599,                0.79904,                0.10989,                0.08471,                0.83657,                 11.354,                0.94116,             5.7928e-05,             5.7928e-05,             5.7928e-05
